home, away, result, us, B365, BW, IW, LB, PS, WH, VC
Arsenal, Leicester,H, 0.512025208385, 0.518754988029, 0.525291828794, 0.521251002406, 0.526742301459, 0.529775715391, 0.511508951407, 0.518754988029
Chelsea, Burnley,A, -0.454154078695, -0.604395604396, -0.557863501484, -0.586998087954, -0.625, -0.613327487944, -0.594936708861, -0.611111111111
Everton, Stoke,H, 0.437648648461, 0.511111111111, 0.509259259259, 0.480769230769, 0.499049429658, 0.512345679012, 0.514018691589, 0.511111111111
Southampton, Swansea,D, -0.120634650934, -0.206270627063, -0.172860847018, -0.139534883721, -0.203539823009, -0.202011735122, -0.213903743316, -0.134529147982
Watford, Liverpool,D, 0.392771602049, -0.152284263959, -0.153191489362, -0.135135135135, -0.158311345646, -0.1243567753, -0.155677655678, -0.171673819742
West Brom, Bournemouth,H, 0.388741149878, 0.366666666667, -0.0114942528736, -0.0171428571429, -0.0117647058824, 0.363433667781, -0.0116279069767, -0.0190369540873
Man United, West Ham,H, 0.475086008541, 0.629921259843, 0.618672665917, 0.567514677104, 0.612369871402, 0.607502799552, 0.635838150289, 0.628415300546
Newcastle, Tottenham,A, -0.24432847402, 0.491071428571, 0.48973880597, 0.472906403941, 0.477554918816, 0.483725135624, 0.478468899522, 0.491071428571
Bournemouth, Watford,A, -0.165704444931, -0.208333333333, -0.216931216931, -0.231578947368, -0.2, -0.223132036847, -0.219251336898, -0.208333333333
Burnley, West Brom,A, -0.169645744336, -0.0645526613817, -0.0635838150289, -0.0924855491329, -0.0526315789474, -0.0596846846847, -0.0714285714286, -0.0598194130926
Liverpool, Crystal Palace,H, 0.409106532604, 0.589695841092, 0.577293136626, 0.546075085324, 0.564971751412, 0.583018867925, 0.606877950101, 0.576553491352
Southampton, West Ham,H, -0.0381398715744, 0.486111111111, 0.47619047619, 0.472906403941, 0.474051896208, 0.489189189189, 0.459183673469, 0.487012987013
Stoke, Arsenal,H, -0.126382498673, -0.261083743842, -0.271186440678, -0.300492610837, -0.25, -0.248023715415, -0.275510204082, -0.270772238514
Swansea, Man United,A, -0.0314399941428, 0.633640552995, 0.602213541667, 0.547445255474, 0.644028103044, 0.643277986074, 0.63051702396, 0.654664484452
Tottenham, Chelsea,A, -0.183749311067, -0.174603174603, -0.189189189189, -0.155555555556, -0.171270718232, -0.186119873817, -0.166666666667, -0.162011173184
Man City, Everton,D, -0.0327516274107, -0.248829039813, -0.252684775742, -0.184300341297, -0.32800912721, -0.291982665222, -0.260926288324, -0.226586102719
Bournemouth, Man City,A, 0.520935222798, 0.601092896175, 0.584333543904, 0.552147239264, 0.604229607251, 0.610410958904, 0.587084148728, 0.601092896175
Crystal Palace, Swansea,A, -0.176194115601, -0.243353783231, -0.239583333333, -0.231578947368, -0.239361702128, -0.246185147508, -0.239361702128, -0.248730964467
