Season, Home, Away, HG, AG, Result, Before: P[Home], Before: P[Draw], Before: P[Away], Before: Sum, After: P[Home], After: P[Draw], After: P[Away], After: Sum
13-14, Arsenal, Aston Villa, 1, 3, A, 0.560933360505, 0.339820664357, 0.0992459751376, 1.0, 0.392587629916, 0.438847564703, 0.16856480538, 1.0
13-14, Liverpool, Stoke, 1, 0, H, 0.591692789969, 0.312597962382, 0.0957092476489, 1.0, 0.632523510972, 0.312597962382, 0.0548785266458, 1.0
13-14, Norwich, Everton, 2, 2, D, 0.265392781316, 0.381512330557, 0.353094888127, 1.0, 0.265392781316, 0.381512330557, 0.353094888127, 1.0
13-14, Sunderland, Fulham, 0, 1, A, 0.376290322581, 0.371290322581, 0.252419354839, 1.0, 0.301532258065, 0.371290322581, 0.327177419355, 1.0
13-14, Swansea, Man United, 1, 4, A, 0.201563204569, 0.368555538855, 0.429881256576, 1.0, 0.0875394558842, 0.368555538855, 0.543905005261, 1.0
13-14, West Brom, Southampton, 0, 1, A, 0.361304982957, 0.378672293459, 0.260022723584, 1.0, 0.287307255315, 0.378672293459, 0.334020451226, 1.0
13-14, West Ham, Cardiff, 2, 0, H, 0.422708618331, 0.371181030552, 0.206110351117, 1.0, 0.509302325581, 0.371181030552, 0.119516643867, 1.0
13-14, Chelsea, Hull, 2, 0, H, 0.678259830286, 0.271602724991, 0.0501374447233, 1.0, 0.678259830286, 0.271602724991, 0.0501374447233, 1.0
13-14, Crystal Palace, Tottenham, 0, 1, A, 0.175366817156, 0.36032731377, 0.464305869074, 1.0, 0.175366817156, 0.36032731377, 0.464305869074, 1.0
13-14, Man City, Newcastle, 4, 0, H, 0.603226896435, 0.319817536746, 0.0769555668187, 1.0, 0.603226896435, 0.319817536746, 0.0769555668187, 1.0
13-14, Chelsea, Aston Villa, 2, 1, H, 0.598202824134, 0.324261874198, 0.0775353016688, 1.0, 0.638382541721, 0.324261874198, 0.0373555840822, 1.0
13-14, Aston Villa, Liverpool, 0, 1, A, 0.205547976353, 0.380172805821, 0.414279217826, 1.0, 0.146975898136, 0.380172805821, 0.472851296043, 1.0
13-14, Everton, West Brom, 0, 0, D, 0.523116126684, 0.344739716054, 0.132144157262, 1.0, 0.411721878413, 0.410265744449, 0.178012377138, 1.0
13-14, Fulham, Arsenal, 1, 3, A, 0.22999528376, 0.380128910549, 0.389875805691, 1.0, 0.138476654614, 0.380128910549, 0.481394434837, 1.0
13-14, Hull, Norwich, 1, 0, H, 0.344063064543, 0.378551486287, 0.277385449171, 1.0, 0.409656758089, 0.422052882247, 0.168290359665, 1.0
13-14, Newcastle, West Ham, 0, 0, D, 0.374436574372, 0.375080489375, 0.250482936252, 0.999999999999, 0.374436574372, 0.375080489375, 0.250482936252, 0.999999999999
13-14, Southampton, Sunderland, 1, 1, D, 0.479688141157, 0.355765285187, 0.164546573656, 1.0, 0.370168239639, 0.420188756668, 0.209643003693, 1.0
13-14, Stoke, Crystal Palace, 2, 1, H, 0.469898469898, 0.348205348205, 0.181896181896, 0.999999999999, 0.522908622908, 0.348205348205, 0.128886028886, 0.999999999999
13-14, Cardiff, Man City, 3, 2, H, 0.107021276596, 0.331914893617, 0.561063829787, 1.0, 0.196319148936, 0.378680851064, 0.425, 1.0
13-14, Tottenham, Swansea, 1, 0, H, 0.516834389365, 0.34526028078, 0.137905329855, 1.0, 0.565150950429, 0.34526028078, 0.0895887687915, 1.0
13-14, Man United, Chelsea, 0, 0, D, 0.34709803284, 0.385465777922, 0.267436189238, 1.0, 0.34709803284, 0.385465777922, 0.267436189238, 1.0
13-14, Cardiff, Everton, 0, 0, D, 0.259613824436, 0.378062631835, 0.362323543729, 1.0, 0.259613824436, 0.378062631835, 0.362323543729, 1.0
13-14, Crystal Palace, Sunderland, 3, 1, H, 0.333003136866, 0.377414561664, 0.289582301469, 0.999999999999, 0.433052666336, 0.442786032689, 0.124161300974, 0.999999999999
13-14, Man City, Hull, 2, 0, H, 0.663756448778, 0.28964226997, 0.0466012812518, 1.0, 0.663756448778, 0.28964226997, 0.0466012812518, 1.0
13-14, Newcastle, Fulham, 1, 0, H, 0.391654812707, 0.376007586534, 0.232337600759, 1.0, 0.452489331436, 0.419687055477, 0.127823613087, 1.0
13-14, Norwich, Southampton, 1, 0, H, 0.292279715655, 0.380228136882, 0.327492147462, 0.999999999999, 0.36305174409, 0.4236121673, 0.213336088609, 0.999999999999
13-14, West Ham, Stoke, 0, 1, A, 0.425148786815, 0.364108042118, 0.210743171067, 1.0, 0.317047153975, 0.427697237906, 0.255255608119, 1.0
13-14, Arsenal, Tottenham, 1, 0, H, 0.383239171375, 0.389202762084, 0.227558066541, 1.0, 0.444915254238, 0.431958568738, 0.123126177024, 1.0
13-14, Liverpool, Man United, 1, 0, H, 0.316484968616, 0.381731086885, 0.3017839445, 1.0, 0.384836471754, 0.425009910803, 0.190153617444, 1.0
13-14, West Brom, Swansea, 0, 2, A, 0.320249630481, 0.390376088028, 0.289374281491, 1.0, 0.213655772705, 0.390376088028, 0.395968139267, 1.0
13-14, Aston Villa, Newcastle, 1, 2, A, 0.39374205845, 0.369123252859, 0.237134688691, 1.0, 0.317455527319, 0.369123252859, 0.313421219822, 1.0
13-14, Everton, Chelsea, 1, 0, H, 0.248485814472, 0.369461268728, 0.382052916799, 0.999999999999, 0.323637233025, 0.413598979917, 0.262763787057, 0.999999999999
13-14, Fulham, West Brom, 1, 1, D, 0.392433116986, 0.371062213076, 0.236504669938, 1.0, 0.392433116986, 0.371062213076, 0.236504669938, 1.0
13-14, Hull, Cardiff, 1, 1, D, 0.353241197762, 0.368542283646, 0.278216518592, 1.0, 0.353241197762, 0.368542283646, 0.278216518592, 1.0
13-14, Man United, Crystal Palace, 2, 0, H, 0.652132031852, 0.29347546879, 0.0543924993578, 1.0, 0.652132031852, 0.29347546879, 0.0543924993578, 1.0
13-14, Stoke, Man City, 0, 0, D, 0.148655635988, 0.337642192347, 0.513702171665, 1.0, 0.233790072389, 0.384007238883, 0.382202688728, 1.0
13-14, Sunderland, Arsenal, 1, 3, A, 0.154606563859, 0.341373401872, 0.504020034269, 1.0, 0.154606563859, 0.341373401872, 0.504020034269, 1.0
13-14, Tottenham, Norwich, 2, 0, H, 0.570806794055, 0.321762208068, 0.107430997877, 1.0, 0.635185774947, 0.321762208068, 0.0430520169853, 1.0
13-14, Southampton, West Ham, 0, 0, D, 0.450261780105, 0.36198371146, 0.187754508435, 1.0, 0.341799011053, 0.425785340314, 0.232415648633, 1.0
13-14, Swansea, Liverpool, 2, 2, D, 0.240476190476, 0.375714285714, 0.38380952381, 1.0, 0.240476190476, 0.375714285714, 0.38380952381, 1.0
13-14, Chelsea, Fulham, 2, 0, H, 0.62996460873, 0.298859614628, 0.0711757766418, 1.0, 0.62996460873, 0.298859614628, 0.0711757766418, 1.0
