home, away, result, us, B365, BW, IW, LB, PS, WH, VC
Arsenal, Leicester,H,0.423274143,0.518754988,0.525291829,0.521251002,0.526742301,0.529775715,0.511508951,0.518754988
Chelsea, Burnley,A,0.229989525,-0.085640616,-0.032571673,-0.065747086,-0.098257699,-0.083551773,-0.083427757,-0.092356123
Everton, Stoke,H,0.229109478,0.425470495,0.476687587,0.415022145,0.400791731,0.428793906,0.430590934,0.418754988
Southampton, Swansea,D,0.186274555,0.219199868,0.30382674,0.275487262,0.197251908,0.226782171,0.216687191,0.28422584
Watford, Liverpool,D,0.1715357,0.066915604,0.15063525,0.140352126,0.038940562,0.102425396,0.061009535,0.11255202
West Brom, Bournemouth,H,0.572193914,0.43358227,0.139140997,0.123209269,0.027175857,0.465859064,0.049381628,0.093515066
Man United, West Ham,H,0.963576769,1.06350353,0.757813663,0.690723946,0.639545728,1.073361863,0.685219778,0.721930367
Newcastle, Tottenham,A,0.719861628,1.554574959,1.247552469,1.16363035,1.117100647,1.557086999,1.163688678,1.213001795
Bournemouth, Watford,A,0.575692888,1.346241625,1.030621252,0.932051403,0.917100647,1.333954962,0.944437341,1.004668462
Burnley, West Brom,A,0.233374165,1.281688964,0.967037437,0.839565854,0.864469068,1.274270277,0.87300877,0.944849049
Liverpool, Crystal Palace,H,0.178271026,1.871384805,1.544330574,1.385640939,1.429440819,1.857289145,1.47988672,1.52140254
Southampton, West Ham,H,0.103504853,2.357495916,2.02052105,1.858547343,1.903492715,2.346478335,1.939070393,2.008415527
Stoke, Arsenal,H,0.48284137,2.096412172,1.749334609,1.558054732,1.653492715,2.098454619,1.663560189,1.737643289
Swansea, Man United,A,0.378913446,2.730052725,2.351548151,2.105499988,2.297520819,2.741732605,2.294077213,2.392307773
Tottenham, Chelsea,A,0.160710725,2.555449551,2.162358962,1.949944432,2.1262501,2.555612731,2.127410546,2.2302966
Man City, Everton,D,0.585117383,2.306620511,1.909674186,1.765644091,1.798240973,2.263630066,1.866484258,2.003710497
Bournemouth, Man City,A,0.933499115,2.907713407,2.49400773,2.31779133,2.40247058,2.874041025,2.453568407,2.604803393
Crystal Palace, Swansea,A,0.754453095,2.664359624,2.254424397,2.086212383,2.163108878,2.627855878,2.214206705,2.356072429
Man United, Leicester,H,1.147783341,3.281297369,2.860390835,2.688952109,2.763235221,3.249284449,2.801290853,2.961958176
Newcastle, West Ham,H,1.574692029,3.654923743,3.242413307,2.671809252,2.740113833,3.239383459,3.169106945,3.33558455
Chelsea, Everton,H,2.0003123,4.243159037,3.813026717,3.212349792,3.310890089,3.823350287,3.755617209,3.909061252
Liverpool, Arsenal,H,1.975282006,4.221768663,4.192914985,3.601238681,3.265946269,3.795513028,4.139798,3.865582992
Tottenham, Burnley,D,1.862180416,3.848142289,3.89617908,3.369623163,2.848144271,3.447747021,3.760051165,3.46108861
West Brom, Stoke,D,1.85242765,3.803697845,3.873321937,3.74676602,2.81346219,3.400285653,3.736795351,3.427569056
Arsenal, Bournemouth,H,2.312407759,4.371163166,4.420892094,4.301234383,3.370565254,3.943180217,4.293898415,3.995034378
Everton, Tottenham,A,2.18416994,4.775418485,4.81649649,4.690123272,3.779405033,4.357045763,4.687156842,4.399289697
Leicester, Chelsea,A,2.110990147,5.22996394,5.269698461,5.144668726,4.228384625,4.812291192,5.132172258,4.848947566
Man City, Liverpool,H,2.048908349,5.647874388,5.684206233,5.557712204,4.630501027,5.23103496,5.548838925,5.275128669
Southampton, Watford,A,1.93158564,5.27448383,5.332608059,5.218177321,4.270649038,4.861432197,5.193221469,4.901738111
Stoke, Man United,D,1.92442588,5.052261608,5.156614547,5.030943278,4.050176597,4.637797193,4.953221469,4.670394827
Burnley, Crystal Palace,H,1.841113935,5.439001939,5.531614547,4.978920157,4.429486942,5.021479663,5.321885063,5.049013981
Swansea, Newcastle,A,1.583165464,5.33844328,5.439660524,4.848976654,4.341767643,4.920480773,5.227415017,4.945990464
Crystal Palace, Southampton,A,1.325307243,5.304735415,5.405177766,4.796953532,4.330071737,4.883443736,5.1921209,4.917741877
Liverpool, Burnley,D,1.185983843,4.959737879,5.076403436,4.551554759,4.001124369,4.5432915,4.8093981,4.572062865
Newcastle, Stoke,H,1.623066153,5.336260581,5.070721618,4.534411902,4.373217392,4.925189955,5.188708445,4.948585567
Tottenham, Swansea,D,1.48828066,4.991730004,4.773985713,4.266910479,3.968176888,4.592615923,4.842516556,4.60405499
Watford, Man City,A,1.844025142,5.542862888,5.358319257,4.812985565,4.540182271,5.177039228,5.381963623,5.185806367
West Brom, West Ham,D,2.239874753,5.526251593,5.352604971,5.190128422,4.528621578,5.159379184,5.358975117,5.169195072
Chelsea, Arsenal,D,2.177762895,5.477707903,5.313196104,5.107226867,4.48270321,5.106494569,5.256934301,5.120651382
Man United, Everton,H,2.163156712,6.079754863,5.925191208,5.653301953,5.102666013,5.728223806,5.910529072,5.766507141
