home, away, result, us, B365, BW, IW, LB, PS, WH, VC
Arsenal, Leicester,H, 0.512025208385, 0.518754988029, 0.525291828794, 0.521251002406, 0.526742301459, 0.529775715391, 0.511508951407, 0.518754988029
Chelsea, Burnley,A, 0.0578711296904, -0.0856406163669, -0.0325716726899, -0.0657470855483, -0.0982576985413, -0.0835517725533, -0.0834277574541, -0.0923561230824
Everton, Stoke,H, 0.495519778152, 0.425470494744, 0.476687586569, 0.415022145221, 0.400791731116, 0.428793906459, 0.430590934135, 0.418754988029
Southampton, Swansea,D, 0.374885127218, 0.219199867682, 0.303826739551, 0.2754872615, 0.197251908108, 0.226782171337, 0.216687190819, 0.284225840047
West Brom, Bournemouth,H, 0.763626277095, 0.585866534348, 0.292332486678, 0.258344404357, 0.185487202225, 0.590215839119, 0.205059283842, 0.265188885959
Man United, West Ham,H, 1.23871228564, 1.21578779419, 0.911005152594, 0.825859081461, 0.797857073628, 1.19771863867, 0.840897434131, 0.893604186506
Newcastle, Tottenham,A, 0.994383811617, 1.70685922276, 1.40074395856, 1.2987654854, 1.27541199244, 1.68144377429, 1.31936633365, 1.38467561508
Bournemouth, Watford,A, 0.828679366685, 1.49852588943, 1.18381274163, 1.06718653803, 1.07541199244, 1.45831173745, 1.10011499675, 1.17634228174
Burnley, West Brom,A, 0.659033622349, 1.43397322805, 1.1202289266, 0.9747009889, 1.0227804135, 1.39862705276, 1.02868642533, 1.11652286865
Southampton, West Ham,H, 0.620893750775, 1.92008433916, 1.59641940279, 1.44760739284, 1.4968323097, 1.88781624195, 1.4878700988, 1.60353585566
Stoke, Arsenal,H, 0.494511252102, 1.65900059532, 1.32523296212, 1.147114782, 1.2468323097, 1.63979252654, 1.21235989471, 1.33276361715
Swansea, Man United,A, 0.463071257959, 2.29264114831, 1.92744650378, 1.69456003748, 1.89086041275, 2.28307051261, 1.84287691867, 1.9874281016
Tottenham, Chelsea,A, 0.279321946892, 2.11803797371, 1.73825731459, 1.53900448192, 1.71958969452, 2.09695063879, 1.67621025201, 1.82541692842
Man City, Everton,D, 0.246570319482, 1.8692089339, 1.48557253885, 1.35470414063, 1.39158056731, 1.80496797357, 1.41528396368, 1.5988308257
Bournemouth, Man City,A, 0.76750554228, 2.47030183007, 2.06990608276, 1.90685137989, 1.99581017456, 2.41537893248, 2.00236811241, 2.19992372187
Crystal Palace, Swansea,A, 0.591311426679, 2.22694804684, 1.83032274942, 1.67527243252, 1.75644847243, 2.16919378497, 1.76300641028, 1.95119275741
Man United, Leicester,H, 1.07156188301, 2.84388579221, 2.4362891882, 2.27801215855, 2.35657481482, 2.7906223564, 2.35009055901, 2.55707850467
Newcastle, West Ham,H, 1.50585753104, 3.21751216584, 2.81831166011, 2.26086930141, 2.33345342753, 2.7807213663, 2.71790665097, 2.93070487829
Chelsea, Everton,H, 2.04673510003, 3.80574745996, 3.38892506953, 2.80140984195, 2.90422968324, 3.36468819422, 3.3044169149, 3.5041815808
Tottenham, Burnley,D, 1.78905668328, 3.43212108633, 3.09218916449, 2.56979432371, 2.48642768506, 3.01692218777, 2.92467007945, 3.09968719878
West Brom, Stoke,D, 1.77898584212, 3.38767664189, 3.06933202163, 2.94693718085, 2.45174560413, 2.96946081912, 2.9014142655, 3.06616764571
Arsenal, Bournemouth,H, 2.36494084558, 3.95514196345, 3.61690217905, 3.50140554354, 3.0088486682, 3.51235538362, 3.45851732957, 3.63363296727
Everton, Tottenham,A, 2.29267380687, 4.3593972826, 4.01250657466, 3.89029443243, 3.4176884472, 3.92622092984, 3.85177575653, 4.03788828642
Leicester, Chelsea,A, 2.67600553971, 4.81394273714, 4.4657085451, 4.34483988697, 3.86666803904, 4.38146635814, 4.29679117277, 4.48754615543
Southampton, Watford,A, 2.473345661, 4.4405521792, 4.11411037159, 4.00530500325, 3.50681605014, 4.01186359475, 3.94117371687, 4.11415559749
Stoke, Man United,D, 2.86697390154, 4.21832995698, 3.93811685983, 3.8180709607, 3.2863436092, 3.78822859101, 3.70117371687, 3.88281231391
Burnley, Crystal Palace,H, 2.78608826324, 4.60507028847, 4.31311685983, 3.76604783931, 3.66565395403, 4.17191106069, 4.06983731134, 4.26143146758
Swansea, Newcastle,A, 2.4879651992, 4.50451162926, 4.22116283684, 3.63610433648, 3.57793465578, 4.07091217057, 3.97536726526, 4.15840795135
Crystal Palace, Southampton,A, 2.3105424845, 4.47080376409, 4.18668007822, 3.5840812151, 3.56623874935, 4.03387513353, 3.94007314761, 4.13015936378
Newcastle, Stoke,H, 2.72858551533, 4.84732646619, 4.18099826004, 3.56693835795, 3.9383317726, 4.41577358828, 4.31938349244, 4.50668206588
Tottenham, Swansea,D, 2.45433586829, 4.5027958891, 3.88426235499, 3.29943693507, 3.53329126855, 4.08319955639, 3.97319160322, 4.16215148879
Watford, Man City,A, 2.95748417274, 5.05392877336, 4.46859589889, 3.8455120204, 4.10529665213, 4.66762286198, 4.51263866998, 4.74390286662
