home, away, result, us, B365, BW, IW, LB, PS, WH, VC
Everton, Bournemouth,H, 0.522989750703, 0.504385964912, 0.504587155963, 0.493023255814, 0.489642184557, 0.490514905149, 0.510677808728, 0.50350262697
Leicester, Liverpool,A, 0.392744105262, 0.918109476517, 0.920387571764, 0.906066734075, 0.908490352097, 0.916237736655, 0.935757511172, 0.930513550505
Southampton, Man United,A, 0.882629986455, 1.41674954905, 1.41334531824, 1.37897313802, 1.38705465918, 1.40616447658, 1.41978461669, 1.42456661546
Stoke, Chelsea,A, 1.40238962662, 1.92869494154, 1.91995324776, 1.88790170944, 1.88705465918, 1.897528898, 1.95454397498, 1.92587437484
Swansea, Watford,A, 1.30627177894, 1.82813628232, 1.82281039062, 1.75795820662, 1.78240349638, 1.80197334244, 1.85109569912, 1.8234244862
West Ham, Tottenham,A, 1.27776493751, 2.33107006271, 2.31388181919, 2.22911205277, 2.2792417981, 2.30113441627, 2.34659119461, 2.32762616687
Arsenal, West Brom,H, 1.83540843583, 2.94800780808, 2.88428599129, 2.79662672988, 2.87936814049, 2.89601841389, 2.93367534334, 2.93702837232
Bournemouth, Leicester,D, 2.29036961345, 3.32812476714, 3.2725212854, 3.18034766011, 3.2724317243, 3.28441127103, 3.32673892716, 3.33028679929
Chelsea, Man City,A, 2.24360252069, 3.26379728176, 3.18680699969, 3.10476626476, 3.19685032896, 3.19673091587, 3.26859939227, 3.25028679929
Man United, Crystal Palace,H, 2.84738068733, 3.91118614667, 3.85617819644, 3.73847982623, 3.91676805264, 3.87312821028, 3.9440066231, 3.96736632993
Stoke, Southampton,H, 2.67127894327, 3.82326117598, 3.77382525527, 3.68584824728, 3.84074466083, 3.77714606742, 3.86261127426, 3.88763967845
West Brom, Watford,D, 2.61374266996, 3.7893628709, 3.72811096955, 4.06653006547, 3.78360180369, 3.71594388163, 3.82832555998, 3.8329948697
West Ham, Swansea,H, 2.52680647753, 4.24854654437, 4.19202849533, 4.49810901283, 4.23097022474, 4.1890621612, 4.27656572561, 4.2929948697
Everton, Burnley,A, 2.16732236999, 3.8783106097, 3.83343330124, 4.18080132053, 3.87535276884, 3.80240690029, 3.88619139406, 3.91383550018
Newcastle, Liverpool,D, 2.12326459499, 3.76369742919, 3.73971258896, 4.09664290468, 3.80672531786, 3.71854181369, 3.76657416918, 3.80374375706
Burnley, West Ham,D, 2.04774976058, 4.13301561101, 4.11543513232, 4.48036383492, 4.17358922319, 4.08310163311, 4.13523776365, 4.17306193888
Crystal Palace, Chelsea,H, 1.56314771955, 3.6395091175, 3.61803929898, 4.03510836046, 3.68053366763, 3.60700735701, 3.61544210592, 3.68750485497
Liverpool, Man United,D, 1.3667705431, 4.00674075592, 3.99954218916, 4.4188292907, 4.06695052946, 3.98088123089, 3.98325819788, 4.07168564593
Man City, Stoke,H, 2.10030348624, 4.67045757008, 4.61163094203, 5.05254285217, 4.67596392776, 4.64289054559, 4.66863678795, 4.68673629716
Watford, Arsenal,H, 1.84136042151, 4.34988766803, 4.28072848077, 4.76896076262, 4.35520921077, 4.3081079369, 4.32588060421, 4.3499307416
Southampton, Newcastle,D, 1.78341738844, 4.25997757812, 4.17920563813, 4.67805167171, 4.24215679556, 4.18480696602, 4.2354283429, 4.22641295504
Leicester, West Brom,D, 2.22555701781, 4.17707602371, 4.09409925515, 4.61489377697, 4.1711185442, 4.09417874769, 4.17159855567, 4.16292089155
Chelsea, Watford,H, 2.64185233575, 4.77912298338, 4.6870479731, 5.16096886229, 4.76478609037, 4.67421763298, 4.75753605567, 4.75261673264
Man City, Burnley,H, 3.25601623216, 5.44391459677, 5.36964182975, 5.83639100113, 5.44720078853, 5.30747754487, 5.4775582102, 5.38827116778
Newcastle, Crystal Palace,H, 3.75162866091, 5.8769042875, 5.80350426362, 6.2679699485, 5.87963322097, 5.7401306061, 5.92675607116, 5.83101145408
