home, away, result, us, B365, BW, IW, LB, PS, WH, VC
Arsenal, Leicester,H,0.512025208,0.518754988,0.525291829,0.521251002,0.526742301,0.529775715,0.511508951,0.518754988
Chelsea, Burnley,A,-0.454154079,-0.604395604,-0.557863501,-0.586998088,-0.625,-0.613327488,-0.594936709,-0.611111111
Everton, Stoke,H,0.437648648,0.511111111,0.509259259,0.480769231,0.49904943,0.512345679,0.514018692,0.511111111
Southampton, Swansea,D,-0.120634651,-0.206270627,-0.172860847,-0.139534884,-0.203539823,-0.202011735,-0.213903743,-0.134529148
Watford, Liverpool,D,0.392771602,-0.152284264,-0.153191489,-0.135135135,-0.158311346,-0.124356775,-0.155677656,-0.17167382
West Brom, Bournemouth,H,0.38874115,0.366666667,-0.011494253,-0.017142857,-0.011764706,0.363433668,-0.011627907,-0.019036954
Man United, West Ham,H,0.475086009,0.62992126,0.618672666,0.567514677,0.612369871,0.6075028,0.63583815,0.628415301
Newcastle, Tottenham,A,-0.244328474,0.491071429,0.489738806,0.472906404,0.477554919,0.483725136,0.4784689,0.491071429
Bournemouth, Watford,A,-0.165704445,-0.208333333,-0.216931217,-0.231578947,-0.2,-0.223132037,-0.219251337,-0.208333333
Burnley, West Brom,A,-0.169645744,-0.064552661,-0.063583815,-0.092485549,-0.052631579,-0.059684685,-0.071428571,-0.059819413
Liverpool, Crystal Palace,H,0.409106533,0.589695841,0.577293137,0.546075085,0.564971751,0.583018868,0.60687795,0.576553491
Southampton, West Ham,H,-0.038139872,0.486111111,0.476190476,0.472906404,0.474051896,0.489189189,0.459183673,0.487012987
Stoke, Arsenal,H,-0.126382499,-0.261083744,-0.271186441,-0.300492611,-0.25,-0.248023715,-0.275510204,-0.270772239
Swansea, Man United,A,-0.031439994,0.633640553,0.602213542,0.547445255,0.644028103,0.643277986,0.630517024,0.654664484
Tottenham, Chelsea,A,-0.183749311,-0.174603175,-0.189189189,-0.155555556,-0.171270718,-0.186119874,-0.166666667,-0.162011173
Man City, Everton,D,-0.032751627,-0.24882904,-0.252684776,-0.184300341,-0.328009127,-0.291982665,-0.260926288,-0.226586103
Bournemouth, Man City,A,0.520935223,0.601092896,0.584333544,0.552147239,0.604229607,0.610410959,0.587084149,0.601092896
